step,total_energy,total_revenue
301,849121.0195311202,116145.99170032248
302,851290.6471669221,116364.25624048417
303,853460.274802724,116582.52078064582
304,855629.9024385258,116780.60778379453
305,857728.8740743276,116972.24389414323
306,859827.8458514414,117163.88001739373
307,861926.8176285549,117355.5161406442
308,864025.7894056684,117545.47308647298
309,866096.3101827819,117732.85521680173
310,868166.8310167973,117920.23735228015
311,870237.3518508128,118107.61948775854
312,872307.8726848281,118390.65968576845
313,874510.9655188436,118691.82247617835
314,876714.058087715,118992.98523034308
315,878917.1506565869,119294.14798450789
316,881120.2432254589,119491.10446016504
317,883371.9807943308,119692.40979882219
318,885623.7182659127,119893.7151287816
319,887875.455737495,120095.02045874104
320,890127.193209077,120329.42632953275
321,892749.1850901503,120602.37568435249
322,895371.1769712236,120875.32503917221
323,897993.168852297,121148.27439399193
324,900615.1607333702,121363.80212661615
325,903237.1526144436,121579.32985924039
326,905859.1444955168,121794.85759186461
327,908481.1363765901,122010.38532448883
328,911103.1282576635,122548.94245686127
329,913725.1201387368,123087.49958923375
330,916347.11201981,123626.05672160619
331,918969.1039008835,124164.61385397865
332,921591.0957819567,124504.16180257764
333,924213.08766303,124843.70975117662
334,926835.0795441032,125183.25769977564
335,929457.0714251766,125522.80564837462
336,932079.0633062499,125833.7738854699
337,934701.0551873232,126144.74212256519
338,937323.0470683965,126455.71035966047
339,939945.0389494699,126766.67859675578
340,942567.0308305431,127101.24476078076
341,945189.0227116165,127435.8109248057
342,947811.0145926897,127770.37708883066
343,950433.0064737631,128104.9432528556
344,953054.9983548364,128335.15414001384
345,955676.9902359096,128565.36502717208
346,958298.9821169829,128795.5759143303
347,960920.9739980564,129025.78680148855
348,963542.9658791296,129228.2045747074
349,966164.9577602029,129430.62234792626
350,968786.9496412762,129633.04012114512
351,971408.9415223496,129835.45789436398
352,974030.9334034228,129999.33238693108
353,976652.925284496,130163.20687949815
354,979274.9171655694,130327.08137206524
355,981896.9090466428,130490.95586463231
356,984518.900927716,130700.9774143063
357,987140.8928087894,130910.99896398025
358,989762.8846898626,131121.02051365422
359,992384.8765709361,131331.04206332818
360,995006.8684520093,131834.46450449427
361,997628.8603330825,132337.88694566034
362,1000250.8522141558,132841.30938682644
363,1002872.8440952293,133344.7318279925
364,1005494.8359763025,134370.71725105649
365,1008116.8278573758,135396.70267412046
366,1010738.8197384491,136422.68809718444
367,1013360.8116195225,137448.67352024844
368,1015982.8035005957,138134.06219796097
369,1018604.795381669,138819.45087567356
370,1021226.7872627423,139504.83955338612
371,1023848.7791438157,140190.22823109865
372,1026470.771024889,140887.94027065227
373,1029092.7629059623,141585.65231020589
374,1031714.7547870355,142283.36434975947
375,1034336.746668109,142981.0763893131
376,1036958.7385491822,143465.6204889354
377,1039580.7304302554,143950.1645885578
378,1042202.7223113287,144434.7086881801
379,1044824.7141924022,144919.25278780246
380,1047446.7060734754,145171.2262075736
381,1050068.6979545488,145423.19962734473
382,1052690.689835622,145675.17304711588
383,1055312.6817166954,145927.14646688703
384,1057934.6735977686,146266.43221629792
385,1060556.6654788419,146605.7179657088
386,1063178.6573599153,146945.00371511967
387,1065800.6492409885,147284.28946453056
388,1068422.641122062,147563.53159986486
389,1071044.6330031352,147842.77373519918
390,1073666.6248842084,148122.01587053348
391,1076288.616765282,148401.2580058678
392,1078910.608646355,148633.828685719
393,1081532.6005274283,148866.3993655702
394,1084154.5924085018,149098.97004542142
395,1086419.9067185938,149299.90342472657
396,1088670.6321630224,149476.81044465865
397,1090813.3956366284,149645.23165368408
398,1092956.1593261585,149813.65287968115
399,1095098.9230156883,149982.07410567818
400,1097241.686705218,150105.71157056405
401,1099321.5453947475,150225.7194169499
402,1101401.4042100874,150345.727270595
403,1103481.2630254268,150465.73512424008
404,1105561.1218407662,150647.93075646384
405,1107630.8836561057,150829.24189148756
406,1109700.6454916392,151010.55302828026
407,1111770.4073271726,151191.864165073
